iter	Passed	Remaining
454	5191	513
455	5203	502
456	5216	490
457	5231	479
458	5243	468
459	5252	456
460	5262	445
461	5274	433
462	5291	422
463	5302	411
464	5313	399
465	5323	388
466	5333	376
467	5343	365
468	5354	353
469	5367	342
470	5380	331
471	5392	319
472	5402	308
473	5413	296
474	5422	285
475	5432	273
476	5445	262
477	5455	251
478	5470	239
479	5480	228
480	5491	216
481	5500	205
482	5510	193
483	5523	182
484	5533	171
485	5545	159
486	5560	148
487	5572	137
488	5585	125
489	5598	114
490	5610	102
491	5622	91
492	5631	79
493	5641	68
494	5653	57
495	5663	45
496	5675	34
497	5690	22
498	5700	11
499	5711	0
