iter	MultiClass
0	1.05435734
1	1.014236983
2	0.9787456427
3	0.9458451776
4	0.915565333
5	0.8860490321
6	0.8582046396
7	0.8321064789
8	0.8095168086
9	0.786940836
10	0.7662294944
11	0.7465515204
12	0.7296809659
13	0.7121591868
14	0.6967965628
15	0.6810637103
16	0.6658553904
17	0.6517424737
18	0.6392348191
19	0.626837354
20	0.6149288049
21	0.603200581
22	0.5919721479
23	0.5815833228
24	0.5712761087
25	0.5608306868
26	0.551721991
27	0.5429392156
28	0.5339621582
29	0.5258404213
30	0.5178891423
31	0.5103233938
32	0.5025176334
33	0.4951002156
34	0.4890517538
35	0.4821843803
36	0.4759244222
37	0.4693613724
38	0.4632390325
39	0.4572967026
40	0.451610115
41	0.4451603796
42	0.4398962326
43	0.4343290354
44	0.4297201469
45	0.4248568953
46	0.4197742966
47	0.4147064611
48	0.4095149704
49	0.4045804854
50	0.4004786433
51	0.395811366
52	0.3918445843
53	0.387793438
54	0.3837027301
55	0.3797179094
56	0.3757473995
57	0.3721102781
58	0.3681458973
59	0.3645212175
60	0.3610284003
61	0.3573445645
62	0.3539258751
63	0.3509014056
64	0.3477687273
65	0.3452794792
66	0.3429424336
67	0.3400232919
68	0.3369571134
69	0.3340310534
70	0.3311665861
71	0.3283165156
72	0.3253636795
73	0.322600577
74	0.3203160696
75	0.3175678068
76	0.3147105991
77	0.3119603974
78	0.3092892527
79	0.306930774
80	0.3044099585
81	0.3020931045
82	0.3001222335
83	0.2980637705
84	0.2956965223
85	0.2935799139
86	0.2916617665
87	0.2896372342
88	0.2876400289
89	0.2856495015
90	0.2836760239
91	0.2816689346
92	0.27991625
93	0.2776861526
94	0.2759551172
95	0.274408006
96	0.2725364572
97	0.2704838929
98	0.2687618419
99	0.2671427548
100	0.2651354921
101	0.2631534503
102	0.2617021733
103	0.259842216
104	0.2582742453
105	0.2563789707
106	0.2552052544
107	0.2535994915
108	0.2520340628
109	0.2505601956
110	0.2488778992
111	0.2473188006
112	0.2455136537
113	0.2439091417
114	0.2426304911
115	0.2412916557
116	0.2398141416
117	0.238522597
118	0.2370157672
119	0.2359475379
120	0.2345794551
121	0.2334688247
122	0.2324036788
123	0.2309646285
124	0.2296946547
125	0.2285828087
126	0.2271522101
127	0.2256498249
128	0.2245453615
129	0.2233430178
130	0.2221478267
131	0.2211056608
132	0.219705726
133	0.2187482779
134	0.2176125054
135	0.2165633011
136	0.2155511903
137	0.2143236386
138	0.2131578245
139	0.2119612599
140	0.2110610504
141	0.210052568
142	0.2089304539
143	0.2077185421
144	0.206926892
145	0.2059993522
146	0.2050132529
147	0.2041897087
148	0.2033031207
149	0.2025038737
150	0.2013158561
151	0.2003700743
152	0.1996068838
153	0.1986657703
154	0.1977145953
155	0.1968910361
156	0.1960036292
157	0.1952342577
158	0.194373967
159	0.1934254491
160	0.1925145044
161	0.1916935317
162	0.1908958982
163	0.1900828105
164	0.1890852754
165	0.1883068764
166	0.1875598661
167	0.1867247251
168	0.1859944482
169	0.1851745062
170	0.1843587899
171	0.1836486178
172	0.1829643734
173	0.1820703686
174	0.1811748368
175	0.1803558725
176	0.1795896873
177	0.1786375517
178	0.1778580433
179	0.1770382653
180	0.1764428764
181	0.1757770506
182	0.1750636132
183	0.1745182098
184	0.1738847448
185	0.1732384916
186	0.1726176361
187	0.1719829493
188	0.1712603726
189	0.1705558666
190	0.169896102
191	0.1692038123
192	0.1686410905
193	0.1681626094
194	0.1676587482
195	0.1669677121
196	0.1664207473
197	0.165672834
198	0.1650052516
199	0.1642272762
200	0.1635846406
201	0.1630176809
202	0.162447155
203	0.1618402377
204	0.1613212054
205	0.1605542614
206	0.1599564028
207	0.159380802
208	0.1587971012
209	0.1582475342
210	0.1575997533
211	0.1569659738
212	0.1565549953
213	0.1559385164
