iter	MultiClass
214	0.1554327191
215	0.1547859014
216	0.1540874672
217	0.1535831761
218	0.1530659744
219	0.1526049388
220	0.1520194828
221	0.1514715057
222	0.1509234615
223	0.1503915953
224	0.1497634575
225	0.1493167651
226	0.1486241879
227	0.1480950652
228	0.1475748917
229	0.147012988
230	0.1466001499
231	0.1460751737
232	0.1455946883
233	0.1449679679
234	0.144437595
235	0.143936317
236	0.1434127198
237	0.1428594876
238	0.1422669844
239	0.1418776253
240	0.1413626572
241	0.1409148088
242	0.1405918888
243	0.1401805639
244	0.1395555637
245	0.1390750148
246	0.1385822391
247	0.1381608213
248	0.1376493716
249	0.1371279921
250	0.1366229652
251	0.1360845814
252	0.1356788972
253	0.1353238384
254	0.1348447136
255	0.1344633662
256	0.1339427151
257	0.1335496527
258	0.1331901365
259	0.1328309752
260	0.1324378386
261	0.1321031882
262	0.1317705781
263	0.1314156111
264	0.1310303943
265	0.1304833318
266	0.1302114329
267	0.1297312963
268	0.1293089327
269	0.128848779
270	0.1285067431
271	0.1281431487
272	0.1277982087
273	0.127401856
274	0.1271602916
275	0.1268587411
276	0.1265365769
277	0.1261185607
278	0.1257442647
279	0.1252518953
280	0.1248900364
281	0.1245064001
282	0.1240601572
283	0.1237797824
284	0.1233380815
285	0.1228770907
286	0.1223707903
287	0.1219984697
288	0.1215499704
289	0.1212442218
290	0.1208084944
291	0.1204904647
292	0.1200608303
293	0.1197099182
294	0.1193779071
295	0.1190702385
296	0.1187334129
297	0.1183383626
298	0.1181076767
299	0.1177809869
300	0.1175276202
301	0.117199053
302	0.1168943401
303	0.1165309045
304	0.116296417
305	0.1160426328
306	0.115693787
307	0.1154295087
308	0.1151164019
309	0.1146945631
310	0.1144761156
311	0.1141506431
312	0.1137672616
313	0.1135954054
314	0.1132419475
315	0.1128860424
316	0.1125967073
317	0.1123179615
318	0.1119807579
319	0.1117243718
320	0.1115085484
321	0.1112567001
322	0.1110099923
323	0.1107391563
324	0.1104615698
325	0.1101922555
326	0.109958224
327	0.1096858058
328	0.1094649203
329	0.1091580192
330	0.1088756944
331	0.1086434022
332	0.108416715
333	0.1081588285
334	0.1079396797
335	0.1076257349
336	0.1074388353
337	0.1071705662
338	0.106860059
339	0.1065848813
340	0.1062657984
341	0.1059762944
342	0.1057415592
343	0.1054665185
344	0.1052292941
345	0.1049191772
346	0.1045620325
347	0.1043400094
348	0.1041148057
349	0.1039008997
350	0.1036694642
351	0.1034662593
352	0.1032508963
353	0.1029972679
354	0.1026979636
355	0.1025146435
356	0.1022616474
357	0.10195807
358	0.1016887259
359	0.1014086333
360	0.1011852123
361	0.1009681579
362	0.1006506583
363	0.1004438536
364	0.1002177169
365	0.09997999296
366	0.09973125892
367	0.09954057739
368	0.09925113201
369	0.09910840044
370	0.09892460515
371	0.09870261055
372	0.09851885621
373	0.09830525203
374	0.09800846391
375	0.09776501484
376	0.09762379073
377	0.097364928
378	0.09717532395
379	0.09701561543
380	0.09683148892
381	0.09660931645
382	0.09629211849
383	0.09599296105
384	0.09583486005
385	0.09568876264
386	0.09544262762
387	0.09513069058
388	0.09493918116
389	0.09473606627
390	0.09454459661
391	0.09435337936
392	0.09410012686
393	0.09394258242
394	0.09378122741
395	0.09360704506
396	0.09336984533
397	0.09325285879
398	0.09309652805
399	0.09291142935
400	0.09276351005
401	0.09250950387
402	0.09227006096
403	0.09211324573
404	0.09184243661
405	0.09167572258
406	0.09147602042
407	0.09129194256
408	0.09111181423
409	0.09086625121
410	0.09070509138
411	0.09059482275
412	0.09045397477
413	0.0903195908
414	0.09012898738
415	0.08994525863
416	0.08981181568
417	0.08963660792
418	0.08930618094
419	0.08910421584
420	0.0889112838
421	0.08871744543
422	0.08852187298
423	0.08835048388
424	0.08809417635
425	0.08795713458
426	0.08773390717
427	0.08752445478
428	0.08729492835
429	0.08711531126
430	0.08700074172
431	0.08683401732
432	0.08670357462
433	0.086532737
434	0.08641281771
435	0.08622616192
436	0.0860950077
437	0.08586160623
438	0.08565285921
439	0.08545104665
440	0.08534642672
441	0.0851545458
442	0.08493097451
443	0.0848173241
444	0.08470224746
445	0.08453117311
446	0.08434492341
447	0.08419653527
448	0.0840337749
449	0.08384886261
450	0.08368062395
451	0.08356345905
452	0.08344454792
453	0.08322245863
454	0.08305124377
455	0.08295437225
456	0.08282146251
457	0.08265558467
458	0.08246648606
459	0.08232379313
460	0.08222343061
461	0.08211277951
462	0.08199477333
463	0.0818586024
464	0.08166377426
465	0.08150920613
466	0.08141161774
467	0.08125176506
468	0.08116245962
469	0.08101267401
470	0.08089812608
471	0.08079423141
472	0.08067939908
473	0.08057279888
474	0.08038259694
475	0.08026861236
476	0.08011817903
477	0.07990959668
478	0.07978444736
479	0.07963306313
480	0.07949412277
481	0.07932083567
482	0.07911437621
483	0.07898918732
484	0.07884196016
485	0.07874513554
486	0.07861893467
487	0.07846815752
488	0.07823385486
489	0.07806875362
490	0.0779227116
491	0.077775203
492	0.07760653568
493	0.07748098417
494	0.077299467
495	0.07712438354
496	0.07699911198
497	0.07692771933
498	0.07682069003
499	0.07666599764
